Model,Threshold,Accuracy,Precision,Recall,F1-score,True Negatives,False Positives,False Negatives,True Positives
Logistic Regression,0.25,0.7452093683463449,0.5128644939965694,0.7994652406417112,0.6248693834900731,751,284,75,299
Logistic Regression,0.3,0.7615330021291696,0.5365384615384615,0.7459893048128342,0.6241610738255033,794,241,95,279
Logistic Regression,0.35,0.7792760823278921,0.5665961945031712,0.7165775401069518,0.6328217237308147,830,205,106,268
Logistic Regression,0.4,0.7835344215755855,0.5815602836879432,0.6577540106951871,0.617314930991217,858,177,128,246
Logistic Regression,0.45,0.7955997161107168,0.6174863387978142,0.6042780748663101,0.6108108108108108,895,140,148,226
Logistic Regression,0.5,0.8005677785663591,0.6495176848874598,0.5401069518716578,0.5897810218978102,926,109,172,202
XGBoost,0.25,0.752306600425834,0.5212224108658744,0.820855614973262,0.6375908618899273,753,282,67,307
XGBoost,0.3,0.7629524485450674,0.5371747211895911,0.7727272727272727,0.6337719298245614,786,249,85,289
XGBoost,0.35,0.7785663591199432,0.5648535564853556,0.7219251336898396,0.6338028169014085,827,208,104,270
XGBoost,0.4,0.7899219304471257,0.5911214953271028,0.6764705882352942,0.6309226932668329,860,175,121,253
XGBoost,0.45,0.7963094393186657,0.6153846153846154,0.6203208556149733,0.6178428761651131,890,145,142,232
XGBoost,0.5,0.7906316536550745,0.6230529595015576,0.5347593582887701,0.5755395683453237,914,121,174,200
